algorithm, domain, instance, cost, generated, time, gen_per_sec 
dfid , pancake16 ,  "5 6 11 12 0 1 10 9 8 7 13 14 15 4 3 2 ", 8, 419877808, 6.70601, 6.26122e+07
dfid , pancake16 ,  "8 15 3 1 14 11 13 6 9 4 2 12 0 7 10 5" ,NA, NA, NA, NA
dfid , pancake16 ,  "13 12 11 10 9 8 7 0 1 2 3 4 5 6 14 15 ", 2, 202, 8e-06, 2.525e+07
dfid , pancake16 ,  "12 11 10 9 8 7 6 5 4 3 2 1 0 14 15 13 ", 3, 3192, 8.2e-05, 3.89268e+07
dfid , pancake16 ,  "7 3 4 5 6 8 9 10 11 12 13 14 2 1 0 15 ", 4, 12824, 0.00018, 7.12444e+07
dfid , pancake16 ,  "7 8 9 10 11 12 6 5 4 3 2 1 0 13 14 15 ", 2, 87, 4e-06, 2.175e+07
dfid , pancake16 ,  "7 6 5 4 2 3 1 0 8 9 10 11 12 13 14 15 ", 4, 15260, 0.000236, 6.4661e+07
dfid , pancake16 ,  "8 12 14 13 0 2 7 6 4 9 11 3 15 5 1 10" ,NA, NA, NA, NA
dfid , pancake16 ,  "15 14 13 12 11 0 1 2 3 4 5 6 7 8 9 10 ", 2, 236, 5e-06, 4.72e+07
dfid , pancake16 ,  "6 7 8 9 10 11 12 5 0 4 3 2 1 13 14 15 ", 4, 20305, 0.000266, 7.63346e+07
dfid , pancake16 ,  "7 8 9 10 11 12 13 14 6 1 0 2 3 4 5 15 ", 4, 23709, 0.000322, 7.36304e+07
dfid , pancake16 ,  "12 5 4 3 2 11 10 9 8 7 6 1 0 13 14 15 ", 4, 14028, 0.000178, 7.8809e+07
dfid , pancake16 ,  "4 5 3 1 2 7 10 8 11 12 13 14 6 9 15 0" ,NA, NA, NA, NA
dfid , pancake16 ,  "0 5 6 3 4 1 2 7 8 9 10 11 12 13 14 15 ", 5, 184035, 0.002413, 7.62681e+07
dfid , pancake16 ,  "8 7 6 2 1 0 3 4 5 14 9 13 12 11 10 15 ", 6, 5797962, 0.078433, 7.39225e+07
dfid , pancake16 ,  "11 12 13 14 15 10 9 8 0 1 5 4 6 7 3 2 ", 6, 2949817, 0.040352, 7.31021e+07
dfid , pancake16 ,  "1 2 3 4 5 6 7 8 9 0 10 11 12 13 14 15 ", 2, 129, 4e-06, 3.225e+07
dfid , pancake16 ,  "2 3 4 5 6 7 8 12 11 10 9 1 0 13 14 15 ", 3, 2181, 4.9e-05, 4.45102e+07
dfid , pancake16 ,  "6 5 4 3 2 7 8 9 10 11 12 13 1 0 14 15 ", 3, 1021, 3.9e-05, 2.61795e+07
dfid , pancake16 ,  "0 1 2 3 4 5 6 11 12 8 9 10 7 13 14 15 ", 6, 3835778, 0.06369, 6.02257e+07
dfid , pancake16 ,  "7 5 4 3 2 1 0 8 9 6 10 11 12 13 14 15 ", 4, 25553, 0.000328, 7.79055e+07
dfid , pancake16 ,  "7 8 6 5 4 3 2 1 0 10 11 9 12 13 14 15 ", 4, 5238, 9.5e-05, 5.51368e+07
dfid , pancake16 ,  "15 5 11 2 12 7 6 13 8 4 3 14 9 10 0 1" ,NA, NA, NA, NA
dfid , pancake16 ,  "4 5 6 7 8 0 1 9 10 3 2 11 12 13 14 15 ", 5, 361672, 0.004986, 7.25375e+07
dfid , pancake16 ,  "14 13 12 0 1 2 3 4 6 5 7 8 9 10 11 15 ", 5, 379919, 0.006538, 5.81094e+07
dfid , pancake16 ,  "4 5 6 7 8 9 10 11 12 3 2 1 0 13 14 15 ", 2, 132, 4.2e-05, 3.14286e+06
dfid , pancake16 ,  "6 0 11 5 9 14 10 3 12 15 7 8 2 13 4 1" ,NA, NA, NA, NA
dfid , pancake16 ,  "15 14 13 0 1 2 3 4 12 11 10 9 8 7 6 5 ", 3, 3296, 8.2e-05, 4.01951e+07
dfid , pancake16 ,  "10 6 9 3 4 5 15 0 1 2 8 13 12 7 11 14" ,NA, NA, NA, NA
dfid , pancake16 ,  "8 7 3 6 5 4 2 1 15 0 9 10 11 12 13 14 ", 8, 132611319, 2.07867, 6.37963e+07
dfid , pancake16 ,  "1 15 14 13 12 11 10 9 0 2 3 4 8 6 7 5 ", 8, 890020886, 13.7187, 6.48764e+07
dfid , pancake16 ,  "7 9 8 1 2 3 4 5 6 10 0 11 12 13 14 15 ", 6, 1261988, 0.025646, 4.9208e+07
dfid , pancake16 ,  "12 6 9 1 8 7 5 13 4 2 3 14 10 15 11 0" ,NA, NA, NA, NA
dfid , pancake16 ,  "5 4 0 1 2 3 6 7 8 9 10 11 12 13 14 15 ", 2, 79, 4e-06, 1.975e+07
dfid , pancake16 ,  "2 3 4 5 6 7 8 9 10 0 1 11 12 13 14 15 ", 3, 1839, 2.8e-05, 6.56786e+07
dfid , pancake16 ,  "7 9 0 4 1 15 2 3 13 6 14 5 10 11 12 8" ,NA, NA, NA, NA
dfid , pancake16 ,  "3 6 4 5 0 10 9 8 7 2 1 11 12 13 14 15 ", 7, 67486723, 1.21562, 5.55162e+07
dfid , pancake16 ,  "4 7 5 10 0 6 12 15 1 2 3 13 11 14 8 9" ,NA, NA, NA, NA
dfid , pancake16 ,  "10 15 6 3 1 2 0 7 8 4 9 12 13 14 11 5" ,NA, NA, NA, NA
dfid , pancake16 ,  "11 10 2 1 0 12 13 14 6 5 4 3 15 9 7 8 ", 8, 219256497, 3.63926, 6.02475e+07
dfid , pancake16 ,  "13 14 12 11 10 9 0 1 2 8 7 6 5 4 3 15 ", 4, 6005, 0.000107, 5.61215e+07
dfid , pancake16 ,  "15 14 3 4 5 1 2 13 12 7 6 0 8 9 10 11" ,NA, NA, NA, NA
dfid , pancake16 ,  "9 8 7 6 4 3 13 12 11 0 1 2 10 5 14 15 ", 6, 6649533, 0.129124, 5.14973e+07
dfid , pancake16 ,  "9 10 11 12 8 7 6 5 4 3 2 1 0 13 14 15 ", 2, 57, 5e-06, 1.14e+07
dfid , pancake16 ,  "8 9 12 11 10 5 13 7 6 4 3 2 1 0 14 15 ", 7, 34317621, 0.673032, 5.09896e+07
dfid , pancake16 ,  "12 4 3 7 5 8 9 10 11 2 6 1 0 13 14 15" ,NA, NA, NA, NA
