 dfid , topSpinCompact16_4 , "0 1 2 9 12 13 3 5 7 11 10 6 8 4 14 15", 10, 2308104007, 36.7693, 6.27725e+07
 dfid , topSpinCompact16_4 , "8 1 2 3 12 0 4 5 6 7 11 14 13 9 10 15", 6, 265123, 0.004141, 6.40239e+07
 dfid , topSpinCompact16_4 , "6 8 3 2 5 4 7 11 10 1 0 12 9 13 14 15", 8, 10454970, 0.161599, 6.4697e+07
 dfid , topSpinCompact16_4 , "5 6 14 12 1 0 7 8 4 10 11 2 3 9 13 15", na, na, na, na
 dfid , topSpinCompact16_4 , "4 7 1 8 9 0 3 2 5 6 10 11 12 13 14 15", 6, 581055, 0.008614, 6.74547e+07
 dfid , topSpinCompact16_4 , "4 9 8 2 3 10 7 11 12 6 14 0 1 5 13 15", 10, 1373666105, 21.0701, 6.51952e+07
 dfid , topSpinCompact16_4 , "14 7 2 3 11 10 6 0 4 5 8 9 13 1 12 15", na, na, na, na
 dfid , topSpinCompact16_4 , "13 12 11 3 2 7 14 8 1 4 5 0 6 9 10 15", 10, 3483224695, 54.2627, 6.41919e+07
 dfid , topSpinCompact16_4 , "0 4 8 1 7 11 12 9 10 5 6 14 3 13 2 15", na, na, na, na
 dfid , topSpinCompact16_4 , "7 4 13 3 6 1 0 12 11 9 14 5 10 2 8 15", na, na, na, na
 dfid , topSpinCompact16_4 , "4 5 1 0 2 3 8 7 6 9 13 12 11 10 14 15", 6, 178068, 0.003007, 5.92178e+07
 dfid , topSpinCompact16_4 , "14 7 12 11 6 5 4 8 9 10 1 2 0 3 13 15", na, na, na, na
 dfid , topSpinCompact16_4 , "0 7 3 2 1 6 5 4 8 9 10 11 12 13 14 15", 2, 37, 3e-06, 1.23333e+07
 dfid , topSpinCompact16_4 , "0 1 2 6 5 4 12 8 7 3 11 14 13 9 10 15", 4, 10625, 0.000183, 5.80601e+07
 dfid , topSpinCompact16_4 , "3 2 1 4 5 6 7 8 13 14 11 12 9 10 0 15", 6, 894289, 0.014566, 6.13956e+07
 dfid , topSpinCompact16_4 , "4 3 2 10 11 7 6 9 8 12 13 14 5 1 0 15", 4, 7191, 0.000142, 5.06408e+07
 dfid , topSpinCompact16_4 , "14 13 0 4 3 2 5 9 8 7 6 1 12 10 11 15", 10, 3496432789, 55.7489, 6.27176e+07
 dfid , topSpinCompact16_4 , "14 13 1 4 5 6 2 3 7 11 10 9 8 12 0 15", 4, 7031, 0.000134, 5.24701e+07
 dfid , topSpinCompact16_4 , "2 1 7 5 14 3 13 4 10 11 12 9 8 6 0 15", 10, 2628432671, 43.2734, 6.07402e+07
 dfid , topSpinCompact16_4 , "0 6 12 3 5 9 7 2 8 13 11 10 1 4 14 15", na, na, na, na
 dfid , topSpinCompact16_4 , "2 10 6 4 5 0 12 11 8 1 13 3 7 9 14 15", na, na, na, na
 dfid , topSpinCompact16_4 , "14 2 3 4 7 8 9 5 6 13 12 11 10 1 0 15", 4, 8520, 0.000128, 6.65625e+07
 dfid , topSpinCompact16_4 , "0 1 5 4 3 7 13 10 11 12 9 8 14 2 6 15", 8, 52218809, 0.791986, 6.5934e+07
 dfid , topSpinCompact16_4 , "0 6 9 8 4 5 10 14 13 12 11 3 7 1 2 15", 6, 419756, 0.006664, 6.29886e+07
 dfid , topSpinCompact16_4 , "0 12 11 2 1 13 14 3 7 6 5 4 8 9 10 15", 4, 7539, 0.000123, 6.12927e+07
 dfid , topSpinCompact16_4 , "2 1 5 9 8 10 12 7 6 11 13 0 3 4 14 15", 10, 3439398891, 53.6235, 6.41398e+07
 dfid , topSpinCompact16_4 , "3 5 14 7 1 4 13 9 8 10 11 12 2 6 0 15", 8, 27130196, 0.418512, 6.48254e+07
