grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
2, dfid, 11puzzle , "0 1 2 3 4 5 8 9 10 11 12 13 7 6 14 15", 4, 40178, 0.001499, 2.68032e+07
2, dfid, 11puzzle , "0 4 11 10 9 5 6 13 15 3 2 12 8 1 14 7", na, na, na, na
2, dfid, 11puzzle , "0 1 8 5 6 7 12 11 10 4 2 3 9 13 14 15", na, na, na, na
2, dfid, 11puzzle , "10 11 9 8 7 6 0 5 1 2 3 4 12 13 14 15", 5, 74731, 0.001924, 3.88415e+07
2, dfid, 11puzzle , "8 10 6 12 3 14 15 9 4 13 7 0 11 2 1 5", na, na, na, na
2, dfid, 11puzzle , "5 9 14 8 2 6 4 3 7 13 12 10 11 15 1 0", na, na, na, na
2, dfid, 11puzzle , "13 14 12 0 1 4 7 8 11 10 9 3 2 6 5 15", 8, 232182574, 6.05594, 3.83396e+07
2, dfid, 11puzzle , "12 11 10 9 8 4 3 2 1 0 5 6 7 13 14 15", 3, 2656, 7.5e-05, 3.54133e+07
2, dfid, 11puzzle , "7 6 5 4 3 8 9 10 11 12 2 1 0 13 14 15", 3, 990, 3e-05, 3.3e+07
2, dfid, 11puzzle , "5 11 7 13 12 8 1 0 2 10 9 4 14 6 15 3", na, na, na, na
2, dfid, 11puzzle , "7 12 8 3 15 2 6 10 9 0 14 13 1 11 5 4", na, na, na, na
2, dfid, 11puzzle , "1 0 9 10 5 8 7 11 6 2 3 4 12 13 14 15", 7, 66378254, 1.73281, 3.83066e+07
2, dfid, 11puzzle , "11 0 14 10 5 2 13 8 12 3 6 7 15 1 9 4", na, na, na, na
2, dfid, 11puzzle , "1 2 0 13 6 11 14 15 8 9 5 3 4 10 12 7", na, na, na, na
2, dfid, 11puzzle , "3 1 6 4 7 0 2 12 15 10 14 13 5 11 9 8", na, na, na, na
2, dfid, 11puzzle , "13 12 2 15 11 1 9 5 3 4 14 10 0 7 6 8", na, na, na, na
2, dfid, 11puzzle , "4 2 1 8 5 0 9 13 6 14 3 11 10 15 12 7", na, na, na, na
2, dfid, 11puzzle , "9 7 6 5 10 11 12 13 14 4 15 8 1 0 3 2", na, na, na, na
2, dfid, 11puzzle , "2 1 11 10 9 6 7 8 12 13 5 0 3 4 14 15", 7, 95078614, 2.5327, 3.75404e+07
2, dfid, 11puzzle , "9 4 5 6 15 7 8 3 11 12 0 10 2 1 13 14", na, na, na, na
2, dfid, 11puzzle , "11 3 15 14 12 13 2 5 10 7 4 1 8 9 6 0", na, na, na, na
2, dfid, 11puzzle , "15 13 12 11 10 9 8 14 0 1 2 3 4 5 6 7", 4, 46418, 0.001424, 3.25969e+07
2, dfid, 11puzzle , "12 11 10 9 8 7 6 0 1 2 3 4 5 13 14 15", 2, 186, 1.1e-05, 1.69091e+07
2, dfid, 11puzzle , "11 8 5 4 7 0 2 1 14 10 12 15 6 13 3 9", na, na, na, na
2, dfid, 11puzzle , "7 6 5 4 3 2 1 0 8 9 10 11 12 13 14 15", 1, 7, 3e-06, 2.33333e+06
2, dfid, 11puzzle , "6 2 7 8 9 10 11 5 4 0 1 3 12 13 14 15", 6, 1022801, 0.035233, 2.90296e+07
2, dfid, 11puzzle , "11 10 9 8 0 1 2 3 7 6 5 4 12 13 14 15", 3, 2387, 0.000241, 9.90456e+06
2, dfid, 11puzzle , "2 1 0 8 12 11 9 10 3 4 7 6 5 13 14 15", 6, 4141622, 0.117304, 3.53067e+07
2, dfid, 11puzzle , "13 12 11 10 0 1 2 3 4 5 6 7 8 9 14 15", 2, 205, 1.1e-05, 1.86364e+07
2, dfid, 11puzzle , "12 13 11 10 9 8 7 6 5 4 3 2 1 0 14 15", 2, 28, 3e-06, 9.33333e+06
2, dfid, 11puzzle , "2 3 4 5 6 7 8 9 10 11 1 0 12 13 14 15", 2, 146, 8e-06, 1.825e+07
2, dfid, 11puzzle , "5 6 11 12 0 1 10 9 8 7 13 14 15 4 3 2", 8, 419877808, 11.111, 3.77894e+07
2, dfid, 11puzzle , "8 15 3 1 14 11 13 6 9 4 2 12 0 7 10 5", na, na, na, na
2, dfid, 11puzzle , "13 12 11 10 9 8 7 0 1 2 3 4 5 6 14 15", 2, 202, 1.1e-05, 1.83636e+07
2, dfid, 11puzzle , "12 11 10 9 8 7 6 5 4 3 2 1 0 14 15 13", 3, 3192, 0.00024, 1.33e+07
2, dfid, 11puzzle , "7 3 4 5 6 8 9 10 11 12 13 14 2 1 0 15", 4, 12824, 0.000758, 1.69182e+07
2, dfid, 11puzzle , "7 8 9 10 11 12 6 5 4 3 2 1 0 13 14 15", 2, 87, 7e-06, 1.24286e+07
2, dfid, 11puzzle , "7 6 5 4 2 3 1 0 8 9 10 11 12 13 14 15", 4, 15260, 0.000659, 2.31563e+07
2, dfid, 11puzzle , "8 12 14 13 0 2 7 6 4 9 11 3 15 5 1 10", na, na, na, na
2, dfid, 11puzzle , "15 14 13 12 11 0 1 2 3 4 5 6 7 8 9 10", 2, 236, 2.9e-05, 8.13793e+06
2, dfid, 11puzzle , "6 7 8 9 10 11 12 5 0 4 3 2 1 13 14 15", 4, 20305, 0.001618, 1.25494e+07
2, dfid, 11puzzle , "7 8 9 10 11 12 13 14 6 1 0 2 3 4 5 15", 4, 23709, 0.001851, 1.28088e+07
2, dfid, 11puzzle , "12 5 4 3 2 11 10 9 8 7 6 1 0 13 14 15", 4, 14028, 0.001386, 1.01212e+07
2, dfid, 11puzzle , "4 5 3 1 2 7 10 8 11 12 13 14 6 9 15 0", na, na, na, na
